eng_title,episode_num,jp_title,show_type
Tsurune - The Linking Shot -,13,Tsurune: Tsunagari no Issha,TV
Detective Conan Movie 08: Magician of the Silver Sky,1,Meitantei Conan Movie 08: Ginyoku no Magician,Movie
N/A,13,Uma Musume: Cinderella Gray,TV
Case Closed,Unknown/ Still airing,Meitantei Conan,TV
Detective Conan Movie 25: The Bride of Halloween,1,Meitantei Conan Movie 25: Halloween no Hanayome,Movie
The Ancient Magus' Bride,24,Mahoutsukai no Yome,TV
Kuroko's Basketball,25,Kuroko no Basket,TV
Black Butler: Book of Murder,2,Kuroshitsuji: Book of Murder,OVA
Eureka Seven,50,Koukyoushihen Eureka Seven,TV
Kodocha,102,Kodomo no Omocha (TV),TV
N/A,10,Kyou kara Ore wa!!,OVA
JoJo's Bizarre Adventure: Stone Ocean Part 2,12,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA
Ghost in the Shell: Stand Alone Complex - The Laughing Man,1,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,OVA
Detective Conan Movie 18: The Sniper from Another Dimension,1,Meitantei Conan Movie 18: Ijigen no Sniper,Movie
Black Butler: Book of Circus,10,Kuroshitsuji: Book of Circus,TV
Yatagarasu: The Raven Does Not Choose Its Master,20,Karasu wa Aruji wo Erabanai,TV
Mobile Suit Gundam: Iron-Blooded Orphans,25,Kidou Senshi Gundam: Tekketsu no Orphans,TV
N/A,12,Full Metal Panic? Fumoffu,TV
N/A,1,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,Movie
given The Movie: Hiiragi Mix,1,Given Movie 2: Hiiragi Mix,Movie
Silver Fang,21,Ginga Nagareboshi Gin,TV
N/A,22,Hyouka,TV
Den-noh Coil,26,Dennou Coil,TV
Sound! Euphonium,13,Hibike! Euphonium,TV
The Quintessential Quintuplets 2,12,5-toubun no Hanayome ∬,TV
My Teen Romantic Comedy SNAFU TOO! OVA,1,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA
N/A,12,Mignon,ONA
Mononoke the Movie: Phantom in the Rain,1,Mononoke Movie: Karakasa,Movie
N/A,5,Black Lagoon: Roberta's Blood Trail,OVA
Ranma ½,12,Ranma ½ (2024),TV
Detective Conan Movie 10: The Private Eyes' Requiem,1,Meitantei Conan Movie 10: Tantei-tachi no Requiem,Movie
Tonikawa: Over The Moon For You - SNS,1,Tonikaku Kawaii: SNS,OVA
N/A,101,Touch,TV
Food Wars! The Third Plate,12,Shokugeki no Souma: San no Sara,TV
Case Closed Movie 04: Captured In Her Eyes,1,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Movie
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,1,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,OVA
Kimi ni Todoke: From Me to You Season 2,12,Kimi ni Todoke 2nd Season,TV
The World God Only Knows: Goddesses,12,Kami nomi zo Shiru Sekai: Megami-hen,TV
N/A,25,Hanada Shounen-shi,TV
School Rumble: 2nd Semester,26,School Rumble Ni Gakki,TV
Honey and Clover,24,Hachimitsu to Clover,TV
ef - a tale of melodies.,12,ef: A Tale of Melodies.,TV
N/A,13,Haibane Renmei,TV
My Hero Academia Season 3,25,Boku no Hero Academia 3rd Season,TV
Bungo Stray Dogs Wan!,12,Bungou Stray Dogs Wan!,TV
N/A,153,Dragon Ball,TV
Swallowed Star: Blood Luo Continent,1,Tunshi Xingkong Movie: Xueluo Dalu,ONA
N/A,1,Tekkon Kinkreet,Movie
N/A,23,Clannad,TV
Time of Eve,6,Eve no Jikan,ONA
Call of the Night,13,Yofukashi no Uta,TV
Wagnaria!!3,13,Working!!!,TV
Patema Inverted,1,Sakasama no Patema,Movie
Jade Dynasty,26,Zhu Xian 2nd Season,ONA
Sword Art Online the Movie: Progressive - Aria of a Starless Night,1,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,Movie
Vampire Hunter D: Bloodlust,1,Vampire Hunter D (2000),Movie
Attack on Titan: Wings of Freedom,1,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Movie
The Prince of Tennis: The National Tournament Finals,7,Tennis no Oujisama: Zenkoku Taikai-hen - Final,OVA
N/A,12,Romantic Killer,ONA
N/A,1,Major Movie: Yuujou no Winning Shot,Movie
Magical Girl Lyrical Nanoha A's,13,Mahou Shoujo Lyrical Nanoha A's,TV
Big Windup! 2,13,Ookiku Furikabutte: Natsu no Taikai-hen,TV
Mobile Suit Gundam Thunderbolt: December Sky,1,Kidou Senshi Gundam Thunderbolt: December Sky,Movie
Hi Score Girl: Extra Stage,3,High Score Girl: Extra Stage,OVA
Wotakoi: Love is Hard for Otaku,11,Wotaku ni Koi wa Muzukashii,TV
Akagi,26,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV
Treasure Island,26,Takarajima,TV
N/A,39,Hyouge Mono,TV
Bunny Drop Specials,4,Usagi Drop Specials,Special
N/A,1,One Piece Film: Strong World Episode 0,OVA
N/A,38,Yowamushi Pedal,TV
Mr. Osomatsu,25,Osomatsu-san,TV
N/A,12,Love Live! Superstar!!,TV
Detective Conan Movie 27,1,Meitantei Conan Movie 27: 100-man Dollar no Michishirube,Movie
N/A,26,Phantom: Requiem for the Phantom,TV
Nekomonogatari Black,4,Nekomonogatari: Kuro,TV Special
A Record of a Mortal's Journey to Immortality Season 2,51,Fanren Xiu Xian Chuan 2nd Season,ONA
N/A,1,Kizumonogatari: Koyomi Vamp,Movie
The Ideon: Be Invoked,1,Densetsu Kyojin Ideon: Hatsudou-hen,Movie
Is the Order a Rabbit? Bloom,12,Gochuumon wa Usagi desu ka? Bloom,TV
N/A,5,Hanamonogatari,TV Special
Fate/kaleid liner Prisma Illya: Vow in the Snow,1,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Movie
